census_tract_GEOID,eviction_rate,total_evictions,eviction_filings,foreclosure_sales,foreclosure_rate,lien_foreclosures,lien_foreclosure_rate,year
12057011902,0.524038462,12.052884626,23.0,13.0,1.0906040268456376,4.0,0.2326934264107039,2017
12057012206,0.5,9.0,18.0,6.0,0.4405286343612335,5.0,0.2745744096650192,2017
12057013504,0.551282051,4.961538459000001,9.0,5.0,0.9727626459143968,,,2017
12057013602,0.657894737,3.289473685,5.0,2.0,0.7434944237918215,,,2017
12057013804,0.555194805,37.75324674,68.0,12.0,0.619514713474445,10.0,0.4430660168365086,2017
12057000402,0.5735294120000001,13.191176476000004,23.0,2.0,0.6688963210702341,,,2017
12057003300,0.512953368,9.233160624,18.0,1.0,1.0752688172043012,,,2017
12057003400,0.5154185020000001,14.947136558000002,29.0,3.0,1.7857142857142856,,,2017
12057003600,0.5504587160000001,30.825688096000004,56.0,3.0,0.7109004739336493,0.0,0.0,2017
12057003700,0.664596273,15.285714279,23.0,1.0,1.7241379310344829,,,2017
12057005700,0.593023256,3.5581395360000005,6.0,4.0,0.6622516556291391,3.0,0.3562945368171021,2017
12057006000,0.490566038,5.886792456,12.0,2.0,0.1779359430604982,,,2017
12057006300,0.375,0.375,1.0,2.0,0.2047082906857728,1.0,0.0710732054015636,2017
12057007300,,,,,,,,2017
12057001100,0.5,5.0,10.0,10.0,2.083333333333333,1.0,0.1373626373626373,2017
12057002100,0.48630137,9.23972603,19.0,4.0,0.7168458781362007,,,2017
12057002900,0.470588235,3.294117645,7.0,0.0,0.0,0.0,0.0,2017
12057013002,0.561403509,11.22807018,20.0,1.0,0.119047619047619,0.0,0.0,2017
12057013312,0.525,6.300000000000001,12.0,5.0,0.7692307692307693,5.0,0.3924646781789638,2017
12057014002,0.321428571,2.892857139,9.0,2.0,0.8658008658008658,,,2017
12057013003,0.6315789470000001,9.473684205,15.0,1.0,0.2976190476190476,,,2017
12057013206,0.1363636359999999,1.6363636319999997,12.0,7.0,0.4874651810584958,2.0,0.1072386058981233,2017
12057013307,0.575471698,36.830188672,64.0,2.0,0.7751937984496124,4.0,1.10803324099723,2017
12057013503,0.541666667,13.000000008,24.0,8.0,2.476780185758514,,,2017
12057013903,0.47826087,2.39130435,5.0,5.0,0.99601593625498,,,2017
12057006802,0.5,2.0,4.0,2.0,0.2666666666666666,1.0,0.0985221674876847,2017
12057011708,0.307692308,29.23076926,95.0,1.0,0.2247191011235955,1.0,0.1628664495114006,2017
12057012402,0.545454545,4.909090905,9.0,0.0,0.0,,,2017
12057012403,0.514705882,7.205882348,14.0,5.0,0.6747638326585695,5.0,0.3852080123266564,2017
12057001300,0.5,11.5,23.0,8.0,0.9060022650056626,,,2017
12057001400,0.5958904110000001,11.91780822,20.0,8.0,1.244167962674961,,,2017
12057002700,0.4642857139999999,11.60714285,25.0,5.0,0.6459948320413437,0.0,0.0,2017
